character,pinyin,english,hsk
学习,xué xí,"to study, to learn",1
学校,xué xiào,school,1
一,yī,1,1
衣服,yī fu,clothes,1
医生,yī shēng,doctor,1
医院,yī yuàn,hospital,1
椅子,yǐ zi,chair,1
有,yǒu,"to have, to exist, to be",1
月,yuè,"month, moon",1
在,zài,"at, on, in, for action in progress",1
再见,zài jiàn,"goodbye, see you",1
怎么,zěn me,how,1
怎么样,zěn me yàng,"how is/are, how about that?",1
这,zhè,this,1
中国,Zhōng guó,China,1
中午,zhōng wǔ,"noon, midday",1
住,zhù,"to live, to stay, to reside",1
桌子,zhuō zi,table,1
字,zì,"word, character",1
做,zuò,"to do, to make",1
坐,zuò,"to sit, to take (bus, train, etc.)",1
昨天,zuó tiān,yesterday,1
吧,ba,indicating suggestion,2
白,bái,"white, blank, free of charge, for nothing",2
百,bǎi,100,2
帮助,bāng zhù,"assistance, help, to help, to assist",2
报纸,bào zhǐ,newspaper,2
比,bǐ,"than, used for comparison",2
别,bié,"to leave, to distinguish, other, another, don't",2
长,cháng,"length, long",2
唱歌,chàng gē,to sing,2
出,chū,"to go out, to exceed, to happen Measure, for dramas, plays, operas",2
船,chuán,"boat, ship",2
穿,chuān,to wear,2
次,cì,"order, sequence Measure, ""time(s)""",2
从,cóng,from,2
错,cuò,"mistake, error, wrong",2
大家,dà jiā,"everybody, all",2
打篮球,dǎ lán qiú,play basketball,2
但是,dàn shì,"but, however",2
到,dào,"to arrive, to reach, to, until, up to",2
得,de,used to link verb with adjective,2
等,děng,to wait,2
弟弟,dì di,younger brother,2
第一,dì yī,"first, number one",2
懂,dǒng,"to understand, to know",2
对,duì,"right, correct",2
房间,fáng jiān,room,2
非常,fēi cháng,very,2
服务员,fú wù yuán,"waiter, service personnel",2
高,gāo,"high, tall",2
告诉,gào su,to tell,2
哥哥,gē ge,older brother,2
给,gěi,to give,2
公共汽车,gōng gòng qì chē,bus,2
公斤,gōng jīn,"kilogram Measure, kg",2
公司,gōng sī,company,2
贵,guì,expensive,2
过,guo,indicating action in the past,2
还,hái,still,2
孩子,hái zi,child,2
号,hào,"number, day of month",2
好吃,hǎo chī,"tasty, delicious",2
黑,hēi,"black, dark",2
红,hóng,"dividend, red, popular, revlutionary",2
欢迎,huān yíng,welcome!,2
回答,huí dá,"answer, to answer, to reply",2
机场,jī chǎng,airport,2
鸡蛋,jī dàn,(chicken) egg,2
件,jiàn,"Measure, for events, things, clothes, etc.",2
教室,jiào shì,classroom,2
姐姐,jiě jie,older sister,2
介绍,jiè shào,"to introduce, to recommend",2
进,jìn,"to advance, to enter",2
近,jìn,"near, close",2
就,jiù,"only, already, with regard to, as soon as, right away, even if",2
觉得,jué de,"to think, to feel",2
咖啡,kā fēi,coffee,2
开始,kāi shǐ,"beginning, to begin",2
考试,kǎo shì,exam,2
课,kè,"class, lesson, course",2
可能,kě néng,"might, maybe Auxiliary, can",2
可以,kě yǐ,"Auxiliary, can, may, able to",2
快,kuài,"quick, rapid, soon, almost",2
快乐,kuài lè,happy,2
累,lèi,tired,2
离,lí,"to leave, to be away from",2
两,liǎng,"two, some Measure, 50 gram",2
路,lù,"road, path",2
旅游,lǚ yóu,"trip, jorney, to travel",2
卖,mài,to sell,2
慢,màn,slow,2
忙,máng,busy,2
每,měi,"each, per, all, each, every",2
妹妹,mèi mei,younger sister,2
门,mén,"door Measure, for lessons",2
男人,nán rén,"man, men",2
您,nín,"you (singular, polite)",2
牛奶,niú nǎi,cow milk,2
女人,nǚ rén,woman,2
旁边,páng biān,"beside, aside",2
跑步,pǎo bù,to run,2
便宜,pián yi,"cheap, inexpensive",2
票,piào,ticket,2
起床,qǐ chuáng,to get up (from bed),2
妻子,qī zi,wife,2
千,qiān,1000,2
晴,qíng,"clear, sunny",2
去年,qù nián,last year,2
让,ràng,"to permit, to let sb. do sth.",2
上班,shàng bān,"to go to work, to start work",2
身体,shēn tǐ,"body, health",2
生病,shēng bìng,to get sick,2
生日,shēng rì,birthday,2
时间,shí jiān,"time, period",2
事情,shì qing,"thing, affair, matter",2
手表,shǒu biǎo,wrist watch,2
手机,shǒu jī,mobile phone,2
送,sòng,"to deliver, to escort, to give, to send",2
所以,suǒ yǐ,"therefore, as a result, so",2
它,tā,it,2
题,tí,"topic, problem, to inscribe, to mention",2
踢足球,tī zú qiú,to play football,2
跳舞,tiào wǔ,to dance,2
外,wài,"foreign, external, outside",2
完,wán,to finish,2
玩,wán,"to play, to have fun",2
晚上,wǎn shang,evening,2
为什么,wèi shén me,why,2
问,wèn,to ask,2
问题,wèn tí,"problem, question",2
洗,xǐ,to wash,2
西瓜,xī guā,watermelon,2
希望,xī wàng,"hope, to hope, to wish",2
向,xiàng,"direction, to face, to turn towards, formerly, all along, towards",2
笑,xiào,"smile, to smile, to laugh",2
小时,xiǎo shí,hour,2
新,xīn,new,2
姓,xìng,surname,2
休息,xiū xi,"rest, to rest",2
雪,xuě,snow,2
眼睛,yǎn jing,eye,2
颜色,yán sè,colour,2
羊肉,yáng ròu,mutton,2
药,yào,"medicine, drug",2
要,yào,"Auxiliary, to want to, going to",2
也,yě,also,2
已经,yǐ jīng,already,2
一起,yì qǐ,together,2
意思,yì si,"meaning, opinion, idea",2
阴,yīn,"cloudy, overcast",2
因为,yīn wèi,because,2
右边,yòu bian,"right, right side",2
游泳,yóu yǒng,"swimming, to swim",2
鱼,yú,fish,2
元,yuán,"Measure, for money (Yuan, RMB)",2
远,yuǎn,"far, distant",2
运动,yùn dòng,"movement, sports, to move about",2
再,zài,"again, once more",2
早上,zǎo shang,early morning,2
张,zhāng,"to open up, to spread Measure, for pieces, flat objects",2
丈夫,zhàng fu,husband,2
找,zhǎo,"to look for, to seek",2
着,zhe,indicating action in progress,2
真,zhēn,"real, true, genuine",2
正在,zhèng zài,"in the process of, in course of",2
知道,zhī dào,"to know, to be aware of",2
准备,zhǔn bèi,to prepare,2
自行车,zì xíng chē,"bicycle, bike",2
走,zǒu,to walk,2
最,zuì,most,2
左边,zuǒ bian,"left, left side",2
啊,a,showing approval,3
阿姨,ā yí,aunt,3
矮,ǎi,"low, short",3
爱好,ài hào,"hobby, interest, to like",3
安静,ān jìng,"quiet, peaceful",3
把,bǎ,"handle, to grasp, to hold, for ba-sentences Measure, for a bunch or objects with handle",3
半,bàn,half,3
搬,bān,"to move, to shift",3
班,bān,"class, team, squad Measure, for groups, rankings, etc.",3
办法,bàn fǎ,"method, way, means",3
办公室,bàn gōng shì,"office, bureau",3
帮忙,bāng máng,"to help, to do a favour",3
饱,bǎo,full (from eating),3
包,bāo,"bag, package, to cover, to wrap, to hold, to include",3
被,bèi,by (for passive sentence),3
北方,běi fāng,"north, northern part of a country",3
比较,bǐ jiào,"quite, rather, fairly, comparatively",3
比赛,bǐ sài,"competition, match, to compete",3
必须,bì xū,"Auxiliary, to have to, to must",3
鼻子,bí zi,nose,3
变化,biàn huà,"change, variation, to change, to vary",3
表示,biǎo shì,"to express, to show, to indicate",3
表演,biǎo yǎn,"performance, to perform, to act",3
别人,bié ren,"others, other people",3
宾馆,bīn guǎn,hotel,3
冰箱,bīng xiāng,"fridge, icebox",3
才,cái,"ability, talent, just, only if",3
菜单,cài dān,menu,3
参加,cān jiā,"to attend, to take part, to join",3
草,cǎo,"grass, straw",3
层,céng,"layer, floor Measure, for layer, story, floor",3
差,chà,"to lack, short of, poor",3
超市,chāo shì,supermarket,3
衬衫,chèn shān,"shirt, blouse",3
成绩,chéng jì,"score, achievement, grades",3
城市,chéng shì,"city, town",3
迟到,chí dào,to be late,3
厨房,chú fáng,kitchen,3
除了,chú le,"except for, apart from, besides",3
出现,chū xiàn,"to appear, to arise",3
春,chūn,spring,3
词语,cí yǔ,"word, expression",3
聪明,cōng ming,"clever, intelligent, smart",3
打扫,dǎ sǎo,to clean,3
打算,dǎ suàn,"plan, intention, to plan, to think of, to calculate",3
带,dài,"band, belt, area, region, to wear, to carry, to bring, to lead",3
蛋糕,dàn gāo,cake,3
担心,dān xīn,"to worry, worried, anxious",3
当然,dāng rán,"certainly, of course",3
地,de,used before a verb,3
灯,dēng,"lamp, light",3
低,dī,low,3
地方,dì fang,"region, place, location",3
地铁,dì tiě,subway,3
地图,dì tú,map,3
电梯,diàn tī,elevator,3
电子邮件,diàn zǐ yóu jiàn,email,3
东,dōng,east,3
冬,dōng,winter,3
动物,dòng wù,animal,3
段,duàn,"Measure, for paragraphs, segments, periods, stories",3
短,duǎn,"short, brief",3
锻炼,duàn liàn,"to exercise, to engage in physical exercise",3
多么,duō me,"how, what",3
饿,è,hungry,3
耳朵,ěr duo,ear,3
而且,ér qiě,"moreover, in addition, furthermore",3
发烧,fā shāo,to have fever,3
发现,fā xiàn,"to discover, to find",3
放,fàng,"to let go, to put, have a vacation",3
方便,fāng biàn,convenient,3
放心,fàng xīn,"to rest, to be at ease",3
分,fēn,"minute, point, 0.01 yuan, to divide, to distinguish",3
附近,fù jìn,"vicinity, nearby, next to",3
复习,fù xí,"revision, to revise",3
敢,gǎn,"Auxiliary, to dare",3
干净,gān jìng,"clean, tidy",3
感冒,gǎn mào,"common cold, to catch a cold",3
刚才,gāng cái,just a moment ago,3
跟,gēn,"to follow, with, and",3
根据,gēn jù,"basis, foundation, to base on, according to, based on",3
更,gèng,even more,3
公园,gōng yuán,park,3
故事,gù shi,"story, tale",3
刮风,guā fēng,to be windy,3
关,guān,"mountain pass, barrier, to close, to shut, to turn off",3
关系,guān xì,"relationship, relation, to affect, to have to do with",3
关心,guān xīn,"concern, to care for",3
关于,guān yú,"concerning, with regards to, about",3
国家,guó jiā,"country, state, nation",3
过去,guò qù,"to go over, to pass by, past, former",3
果汁,guǒ zhī,fruit juice,3
害怕,hài pà,"to be afraid, to fear",3
还是,hái shì,"still, nevertheless, or",3
河,hé,river,3
黑板,hēi bǎn,blackboard,3
护照,hù zhào,passport,3
画,huà,"picture, painting, to draw, to paint",3
花,huā,"flower, to spend",3
花园,huā yuán,garden,3
坏,huài,"bad, broken, spoiled",3
换,huàn,"to change, to exchange",3
环境,huán jìng,"environment, surroundings",3
黄,huáng,"to fall through, yellow, pornographic",3
会议,huì yì,"meeting, conference",3
或者,huò zhě,"or, possibly",3
极,jí,"pole, extremely, highly",3
记得,jì de,to remember,3
几乎,jī hū,"almost, nearly",3
机会,jī huì,"opportunity, chance",3
季节,jì jié,"season, period",3
检查,jiǎn chá,"inspection, to check, to inspect, to examine",3
简单,jiǎn dān,"simple, uncomplicated",3
健康,jiàn kāng,"health, healthy",3
见面,jiàn miàn,"to meet, to see sb.",3
讲,jiǎng,"speech, lecture, to speak, to explain, to negotiate",3
脚,jiǎo,foot,3
角,jiǎo,"angle, corner, horn Measure, for 0.1 yuan",3
教,jiāo,"to teach, to instruct",3
借,jiè,"to lend, to borrow, to make use of (an opportunity)",3
接,jiē,"to receive, to meet, to connect, to catch",3
街道,jiē dào,street,3
结婚,jié hūn,"marriage, wedding, to marry",3
解决,jiě jué,"to settle (dispute), to resolve, to solve",3
节目,jié mù,"program, item",3
节日,jié rì,"holiday, festival",3
结束,jié shù,"termination, end, to finish, to end, to conclude",3
经常,jīng cháng,"often, frequently",3
经过,jīng guò,"to pass, to go through, after, as a result of",3
经理,jīng lǐ,"manager, director",3
旧,jiù,"old, used, worn",3
久,jiǔ,long (time),3
举行,jǔ xíng,"to hold (meeting, etc.)",3
句子,jù zi,sentence,3
决定,jué dìng,"decision, to decide",3
刻,kè,"to cut, to carve Measure, for quarter of an hour",3
渴,kě,thirsty,3
可爱,kě ài,"cute, lovely",3
客人,kè rén,"guest, customer, visitor",3
空调,kōng tiáo,air conditioning,3
口,kǒu,"mouth Measure, for things with mouths or a mouth full of",3
哭,kū,"to cry, to weep",3
裤子,kù zi,trousers,3
筷子,kuài zi,chopsticks,3
蓝,lán,blue,3
老,lǎo,"old, always",3
离开,lí kāi,"to depart, to leave",3
历史,lì shǐ,history,3
礼物,lǐ wù,"gift, present",3
脸,liǎn,face,3
练习,liàn xí,"exercise, practice, to practice",3
辆,liàng,"Measure, for vehicles",3
了解,liǎo jiě,to understand,3
邻居,lín jū,neighbor,3
楼,lóu,"storied building Measure, for floor",3
绿,lǜ,green,3
马,mǎ,horse,3
马上,mǎ shàng,"immediately, at once",3
满意,mǎn yì,"to satisfy, satisfied",3
帽子,mào zi,"hat, cap",3
米,mǐ,"rice Measure, for meter",3
面包,miàn bāo,bread,3
面条,miàn tiáo,noodles,3
明白,míng bai,"to understand, clear, obvious",3
拿,ná,"to hold, to seize",3
奶奶,nǎi nai,grandmother (father's mother),3
南,nán,south,3
难,nán,difficult,3
难过,nán guò,"to feel sorry, sad",3
年级,nián jí,"grade, year",3
年轻,nián qīng,young,3
鸟,niǎo,bird,3
努力,nǔ lì,"great effort, to strive, to work/study hard, hard, hardworking",3
爬山,pá shān,"hiking, to climb a mountain",3
盘子,pán zi,"tray, plate, dish",3
胖,pàng,"fat, plump",3
啤酒,pí jiǔ,beer,3
葡萄,pú tao,grape,3
普通话,pǔ tōng huà,Mandarin,3
骑,qí,to ride (animal or bike),3
奇怪,qí guài,strange,3
其实,qí shí,"actually, in fact",3
其他,qí tā,"other, others",3
铅笔,qiān bǐ,pencil,3
清楚,qīng chu,"clear, distinct",3
秋,qiū,"autumn, fall",3
裙子,qún zi,skirt,3
然后,rán hòu,"then, afterwards",3
热情,rè qíng,"enthusiasm, passion, enthusiastic, passionate, cordial",3
认为,rèn wéi,"to think, to believe, to consider",3
认真,rèn zhēn,"conscientious, earnest, serious",3
容易,róng yì,easy,3
如果,rú guǒ,if,3
伞,sǎn,umbrella,3
上网,shàng wǎng,to be on the internet,3
生气,shēng qì,"to be/get angry, angry, mad",3
声音,shēng yīn,"voice, sound",3
使,shǐ,"envoy, messenger, to make, to cause, to use, to employ",3
世界,shì jiè,world,3
瘦,shòu,"thin, slim",3
树,shù,tree,3
舒服,shū fu,comfortable,3
叔叔,shū shu,uncle,3
数学,shù xué,mathematics,3
刷牙,shuā yá,to brush teeth,3
双,shuāng,"two, pair, both Measure, for a pair (of shoes, etc.)",3
水平,shuǐ píng,"level, standard, horizontal",3
司机,sī jī,driver,3
虽然,suī rán,although,3
太阳,tài yáng,sun,3
糖,táng,"sugar, sweets, candy",3
特别,tè bié,"special, particular",3
疼,téng,"pain, to ache, to hurt",3
提高,tí gāo,"to raise, to increase",3
体育,tǐ yù,sports,3
甜,tián,sweet,3
条,tiáo,"strip, clause Measure, for long thin things",3
同事,tóng shì,colleague,3
同意,tóng yì,"to agree, to consent, to approve",3
头发,tóu fa,hair (on the head),3
突然,tū rán,"sudden, abrupt, suddenly, unexpectedly",3
图书馆,tú shū guǎn,library,3
腿,tuǐ,leg,3
万,wàn,10000,3
碗,wǎn,bowl,3
完成,wán chéng,"to complete, to accomplish",3
忘记,wàng jì,to forget,3
为,wèi,"to do, to act, to be, to become, for (sb.)",3
位,wèi,"position, place, seat Measure, for people",3
为了,wèi le,"for, in order to",3
文化,wén huà,culture,3
西,xī,west,3
习惯,xí guàn,"habit, usual practice, custom, to be/get used to",3
洗手间,xǐ shǒu jiān,toilet,3
洗澡,xǐ zǎo,"to take a shower, to have a bath",3
夏,xià,summer,3
先,xiān,"early, former, first, before",3
像,xiàng,"picture, portrait, be/look like, to appear, to seem",3
香蕉,xiāng jiāo,banana,3
相同,xiāng tóng,"identical, same",3
相信,xiāng xìn,"to believe in, have faith in",3
小心,xiǎo xīn,"to be careful, careful, Take care!",3
校长,xiào zhǎng,"headmaster, president (university)",3
鞋,xié,shoe,3
信,xìn,"letter, trust, to believe, to trust",3
新闻,xīn wén,news,3
新鲜,xīn xiān,"fresh (food, experience, etc.)",3
行李箱,xíng li xiāng,suitcase,3
兴趣,xìng qù,interest,3
熊猫,xióng māo,panda,3
需要,xū yào,"needs, to need, to want",3
选择,xuǎn zé,"choice, option, to choose, to select",3
眼镜,yǎn jìng,eyeglasses,3
要求,yāo qiú,"demand, requirement, to require, to demand",3
爷爷,yé ye,grandfather (father's father),3
一般,yì bān,"ordinary, general, common, in general, generally",3
一边,yì biān,"one side, on the one hand",3
一定,yí dìng,"definite, fixed, given, surely, certainly",3
一共,yí gòng,althogether,3
以后,yǐ hòu,"after, afterwards",3
一会儿,yí huì r,"a while, in a moment, a little while",3
以前,yǐ qián,"before, previous, formerly",3
以为,yǐ wéi,"to think (wrongly), to be under the (wrong) impression",3
一样,yí yàng,"alike, equal to",3
一直,yī zhí,"always, continuously, straight",3
银行,yín háng,bank (for money),3
音乐,yīn yuè,music,3
应该,yīng gāi,"Auxiliary, should, ought to",3
影响,yǐng xiǎng,"influence, effect, to influence, to affect",3
用,yòng,"to use, to employ, to apply",3
又,yòu,again,3
有名,yǒu míng,"famous, well known",3
游戏,yóu xì,"game, play",3
遇到,yù dào,"to meet, to run into",3
愿意,yuàn yì,"Auxiliary, to be willing, be ready, to wish, to want",3
越,yuè,"to exceed, to climb over, to surpass",3
月亮,yuè liang,moon,3
云,yún,cloud,3
站,zhàn,"station, stop, to stand, to stop, to halt",3
照顾,zhào gù,"to take care of, to look after",3
着急,zháo jí,to worry,3
照片,zhào piàn,"photo, picture",3
照相机,zhào xiàng jī,camera,3
只,zhǐ,"only, just, merely",3
种,zhǒng,"species, race, breed Measure, type, kind, sort or for languages",3
中间,zhōng jiān,"between, in the middle, mid",3
重要,zhòng yào,important,3
终于,zhōng yú,"at last, finally, eventually",3
周末,zhōu mò,weekend,3
祝,zhù,"to wish, to express good wishes",3
主要,zhǔ yào,"main, principal, major",3
注意,zhù yì,to pay attention to,3
字典,zì diǎn,"dictionary, character book",3
自己,zì jǐ,"oneself, self",3
总是,zǒng shì,always,3
最近,zuì jìn,"recently, lately, soon",3
作业,zuò yè,"homework, task, work",3
作用,zuò yòng,"action, function, impact, effect, to affect",3
爱情,ài qíng,love,4
暗,àn,dark,4
安排,ān pái,"plan, to plan, to arrange",4
安全,ān quán,"safety, safe, secure",4
按时,àn shí,"on time, on schedule",4
按照,àn zhào,according to,4
抱,bào,"to hug, to embrace, to hold",4
报道,bào dào,"report, to report",4
保护,bǎo hù,"protection, to protect, to safeguard",4
包括,bāo kuò,"to include, to consist of",4
报名,bào míng,"to sign up, to register",4
抱歉,bào qiàn,sorry! my apologies!,4
保证,bǎo zhèng,"guarantee, to guarantee, to ensure, to assure",4
倍,bèi,"Measure, for times, -fold",4
笨,bèn,"stupid, foolish",4
本来,běn lái,"original, originally, at first",4
笔记本,bǐ jì běn,notebook,4
毕业,bì yè,"to graduate, to finish school",4
遍,biàn,"all over Measure, for a time",4
表达,biǎo dá,"to express, to convey",4
表格,biǎo gé,"form, table",4
表扬,biǎo yáng,"to praise, to commend",4
标准,biāo zhǔn,"standard, norm, standard",4
饼干,bǐng gān,"buscuit, cookie",4
并且,bìng qiě,"and, besides, moreover",4
博士,bó shì,"doctor, Ph.D.",4
不但,bú dàn,not only,4
不得不,bù dé bù,"Auxiliary, to have to, cannot but",4
部分,bù fen,"part, section",4
不管,bù guǎn,"regardless of, no matter what/how",4
不过,bú guò,"only, just, no more than, but, however",4
不仅,bù jǐn,"not only, not just",4
擦,cā,"to wipe, to rub, to erase",4
猜,cāi,to guess,4
材料,cái liào,"material, data, stuff",4
参观,cān guān,"to visit, to look around",4
差不多,chà bu duō,"almost, more or less",4
尝,cháng,"to taste, once",4
场,chǎng,"field, place Measure, for events, happenings, etc.",4
长城,Cháng chéng,the Great Wall,4
长江,Cháng jiāng,Yangtze river,4
吵,chǎo,"to quarrel, noisy",4
超过,chāo guò,"to surpass, to exceed",4
成功,chéng gōng,"success, to succeed",4
诚实,chéng shí,"honest, truthful",4
成熟,chéng shú,mature,4
成为,chéng wéi,"to become, to turn into",4
乘坐,chéng zuò,to ride (in a vehicle),4
吃惊,chī jīng,"to be startled, to be shocked, to be amazed",4
重新,chóng xīn,again,4
抽烟,chōu yān,"to smoke (a cigarette, etc.)",4
出差,chū chāi,to go on a business trip,4
出发,chū fā,"to leave, to set out",4
出生,chū shēng,to be born,4
传真,chuán zhēn,fax,4
窗户,chuāng hu,window,4
词典,cí diǎn,dictionary,4
从来,cóng lái,"always, ever since, at all times",4
粗心,cū xīn,"careless, thoughtless",4
答案,dá àn,"answer, solution",4
打扮,dǎ ban,"style of dressing, to decorate, to dress up",4
大概,dà gài,"probably, roughly",4
打扰,dǎ rǎo,to disturb,4
大使馆,dà shǐ guǎn,embassy,4
打印,dǎ yìn,"to print, to seal, to stamp",4
大约,dà yuē,approximately,4
打折,dǎ zhé,to give discount,4
打针,dǎ zhēn,to inject,4
戴,dài,"to put on, to wear, to respect, to support",4
代表,dài biǎo,"representative, to represent",4
大夫,dài fu,doctor,4
代替,dài tì,"replacement, to replace, to substitute, instead of",4
当,dāng,"to act as, to administer Auxiliary, should, ought, equal, when, during",4
当地,dāng dì,"locality, local",4
当时,dāng shí,"at that time, then",4
刀,dāo,knife,4
到处,dào chù,"everywhere, at all places",4
到底,dào dǐ,"finally, in the end",4
道歉,dào qiàn,to apologize,4
导游,dǎo yóu,tour guide,4
得意,dé yì,pleased with oneself,4
底,dǐ,"background, end, bottom, base",4
地球,dì qiú,earth (planet),4
地址,dì zhǐ,address,4
掉,diào,"to fall, to drop, to lose, to turn",4
调查,diào chá,"investigation, survey, to investigate, to survey",4
丢,diū,"to lose, to throw",4
动作,dòng zuò,movement,4
堵车,dǔ chē,traffic jam,4
肚子,dù zi,"belly, abdomen",4
断,duàn,"to cut off, to break, to judge, to decide, absolutely, definitely",4
对话,duì huà,dialog,4
对面,duì miàn,opposite,4
顿,dùn,"pause, to stop, to pause, to arrange Measure, for meals, beatings, etc.",4
朵,duǒ,"Measure, for flowers, clouds, etc.",4
而,ér,"and, but, yet",4
儿童,ér tóng,child,4
发,fā,"to send out, to issue, to develop Measure, for gunshots",4
法律,fǎ lǜ,law,4
发生,fā shēng,"to happen, to occur, to take place",4
发展,fā zhǎn,"development, growth, to develop, to grow",4
反对,fǎn duì,"to fight against, to oppose",4
烦恼,fán nǎo,"worries, worried, troubled",4
范围,fàn wéi,"scope limit, range",4
翻译,fān yì,"translation, translator, to translate",4
反映,fǎn yìng,"reflection, to reflect, to mirror",4
方法,fāng fǎ,"method, way",4
方面,fāng miàn,"aspect, respect",4
放弃,fàng qì,to give up,4
放暑假,fàng shǔ jià,to take summer vacation,4
访问,fǎng wèn,"visit, to visit, to interview",4
方向,fāng xiàng,"direction, orientation",4
份,fèn,"part, share, portion, copy Measure, for newspaper, papers, reports, contracts",4
分之,fēn zhī,used for fractions and percentages,4
丰富,fēng fù,"rich, plentiful",4
风景,fēng jǐng,"scenery, landscape",4
否则,fǒu zé,otherwise,4
富,fù,rich,4
符合,fú hé,"to accord with, to conform to",4
父亲,fù qīn,father,4
复印,fù yìn,to (photo)copy,4
复杂,fù zá,"complicated, complex",4
负责,fù zé,to be responsible for,4
改变,gǎi biàn,to change,4
干,gàn,"to do, to work",4
干杯,gān bēi,Cheers!,4
感动,gǎn dòng,"to move sb., to touch (emotionally)",4
感觉,gǎn jué,"feeling, sense, to feel",4
感情,gǎn qíng,"emotion, feeling",4
感谢,gǎn xiè,"gratitude, to thank, to be grateful",4
干燥,gān zào,dry,4
刚刚,gāng gāng,"just now, a moment ago",4
高级,gāo jí,"high level, high grade, advanced",4
各,gè,"each, every",4
个子,gè zi,"height, stature",4
工具,gōng jù,"tool, utensil",4
公里,gōng lǐ,"kilometer Measure, for km",4
共同,gòng tóng,"common, joint, together",4
工资,gōng zī,"salary, wages",4
